verb,count_DT,count_T,rate
ยา,34,1811,1.8774157923799006
กิน,40,2641,1.5145778114350625
ไป,32,3829,0.835727343954035
อยู่,24,5327,0.4505350103247607
เห็น,29,7380,0.3929539295392954
ให้,45,16230,0.27726432532347506
ทำให้,50,20827,0.24007298218658474
คือ,33,17713,0.18630384463388472
สร้าง,29,19552,0.14832242225859246
ทำ,25,25502,0.0980315269390636
เป็น,137,163724,0.08367740832132124
มี,70,229227,0.030537414876956034
