verb,rate
ยา,1.8774157923799006
กิน,1.5145778114350625
ไป,0.835727343954035
อยู่,0.4505350103247607
เห็น,0.3929539295392954
ให้,0.27726432532347506
ทำให้,0.24007298218658474
คือ,0.18630384463388472
สร้าง,0.14832242225859246
ทำ,0.0980315269390636
เป็น,0.08367740832132124
มี,0.030537414876956034
